GermplasmName,Pithiness,n Pithiness,GenericGermplasmName
NC11-0031,1.9,2,NC11-0031
NC11-0036,2,1,NC11-0036
NC11-0040,2.2,1,NC11-0040
NC11-0041,2.1,2,NC11-0041
NC11-0057,2,2,NC11-0057
NC11-0062,2.7,2,NC11-0062
NC11-0064,2.3,2,NC11-0064
NC11-0065,1.8,1,NC11-0065
NC11-0068,0.8,1,NC11-0068
NC11-0070,1.5,1,NC11-0070
NC11-0073,2.2,2,NC11-0073
NC11-0074,3,4,NC11-0074
NC11-0075,1.3,1,NC11-0075
NC11-0076,0.7,1,NC11-0076
NC11-0084,1.5,1,NC11-0084
NC11-0085,2.3,1,NC11-0085
NC11-0088,2.3,1,NC11-0088
NC11-0097,2.2,5,NC11-0097
NC11-0109,1.8,3,NC11-0109
NC11-0119,1.3,1,NC11-0119
NC11-0120,2.6,3,NC11-0120
NC11-0135,2.3,1,NC11-0135
NC11-0139,2.6,3,NC11-0139
NC11-0141,1.8,2,NC11-0141
NC11-0144,1.2,1,NC11-0144
NC11-0146,1,1,NC11-0146
NC11-0167,1.6,3,NC11-0167
NC11-0180,1.8,4,NC11-0180
NC11-0194,2.2,1,NC11-0194
NC11-0195,1,1,NC11-0195
NC11-0202,2.1,2,NC11-0202
NC11-0206,1,1,NC11-0206
NC11-0209,1.4,2,NC11-0209
NC11-0228,1.2,2,NC11-0228
NC11-0231,2,1,NC11-0231
nc11-0234,4,1,nc11-0234
NC11-0234,3.42,18,NC11-0234
nc11-0234 M10,4,1,nc11-0234 M10
NC11-0234 M12,3.3,3,NC11-0234 M12
NC11-0234 M9,3.3,2,NC11-0234 M9
NC11-0234_12M,3.42,18,NC11-0234
NC11-0234_19M,3.42,18,NC11-0234
NC11-0234-10M,3.5,1,NC11-0234-10M
NC11-0234-9M,2.3,1,NC11-0234-9M
nc11-0234M19,2.8,1,nc11-0234M19
NC11-0237,2.2,1,NC11-0237
NC11-0238,2.7,1,NC11-0238
NC11-0239,4,1,NC11-0239
NC11-0241,2.3,1,NC11-0241
NC11-0243,1.1,2,NC11-0243
NC11-0248,1.9,7,NC11-0248
NC11-0255,2.7,1,NC11-0255
NC11-0262,2,5,NC11-0262
NC11-0265,2.7,4,NC11-0265
NC11-0266,2,1,NC11-0266
NC11-0267,2.3,1,NC11-0267
NC11-0268,2,1,NC11-0268
NC11-0274,2,1,NC11-0274
NC11-0275,1.2,4,NC11-0275
NC11-0276,2.5,1,NC11-0276
NC11-0282,1,1,NC11-0282
NC11-0298,1.3,1,NC11-0298
NC11-0310,1.7,1,NC11-0310
NC11-0316,1.2,1,NC11-0316
NC11-0320,1,1,NC11-0320
NC11-0321,2.2,1,NC11-0321
NC11-0335,1.7,1,NC11-0335
NC11-0341,3,1,NC11-0341
NC11-0351,2.3,1,NC11-0351
NC11-0352,1.2,1,NC11-0352
NC11-0354,1,2,NC11-0354
NC11-0362,2,2,NC11-0362
NC11-0365,2.6,1,NC11-0365
NC11-0370,2.5,4,NC11-0370
NC11-0372,2.6,4,NC11-0372
