GermplasmName,RKN,FW,GH SSR,Field SSR
NCDM05-0134,1,2,2,1
NCDM05-0153,1,0,2,1
NCDM05-0153,2,2,2,2
NCDM05-0156,0,0,3,1
NCDM05-0172,0,2,2,2
NCDM06-0006,4,3,1,1
NCDM06-0011,1,2,1,0
NCDM06-0024,,1,1,
NCDM06-0025,,3,1,0
NCDM06-0025,3,3,0,0
NCDM06-0026,,3,0,
NCDM06-0028,,2,1,
NCDM06-0036,,3,0,1
NCDM06-0036,2,3,0,2
NCDM06-0044,,3,,
NCDM06-0058,3,0,0,0
NCDM06-0058,,0,,0
NCDM06-0066,,3,,0
NCDM06-0066,3,3,2,
NCDM06-0082,,3,1,2
NCDM06-0112,4,1,3,1
NCDM06-0123,3,3,0,0
NCDM06-0123,3,3,0,0
NCDM07-0011,2,0,3,1
NCDM07-0034,3,3,0,
NCDM07-0034,,3,1,1
NCDM07-0047,3,1,0,1
NCDM07-0047,,0,,1
NCDM10-0004,,1,,
NCDM10-0006,,2,,0
NCDM10-0013,,2,,1
NCP00-0819 ,0,0,,
NCP00-0819 ,1,4,0,0
NCP01-0095 ,3,2,,
NCP01-0181,4,1,0,1
NCP01-0181,1,2,0,0
NCP01-0181 ,3,0,,
NCP01-0191,4,2,1,1
NCP01-0191,1,3,0,1
NCP01-0191,3,3,0,1
NCP01-0191 ,1,1,,
NCP01-0192,4,0,1,2
NCP01-0192,1,3,0,
NCP01-0192,3,2,3,2
NCP01-0192 ,1,0,,
NCP01-0200,3,0,,
NCP01-0200 ,4,1,1,2
NCP01-0392 ,3,0,,
NCP04-0001,0,,0,
NCP04-0013,3,1,1,1
NCP04-0013,0,0,0,1
NCP04-0020,2,,0,
NCP04-0023,0,,1,
NCP04-0027,2,,1,
NCP04-0042,1,,2,
NCP04-0051,2,3,1,1
NCP04-0051,4,2,2,2
NCP04-0051,2,0,0,1
NCP04-0060,1,,0,
NCP04-0061,0,,0,
NCP04-0062,2,2,2,0
NCP04-0062,3,2,0,0
NCP04-0069,0,0,2,1
NCP04-0069,0,0,1,2
NCP04-0069,0,0,1,0
NCP04-0071,0,,0,
NCP04-0073,,,,
NCP04-0074,0,3,1,1
NCP04-0075,2,,1,
NCP04-0076,0,,1,
NCP04-0078,0,3,1,0
NCP04-0078,1,1,1,2
NCP04-0078,0,0,0,0
NCP04-0079,0,0,3,1
NCP04-0079,2,2,3,2
NCP04-0079,0,0,3,1
NCP04-0083,1,1,0,0
NCP04-0083,3,0,0,0
NCP04-0083,3,0,0,0
NCP04-0088,,,,
NCP04-0088,3,0,1,3
NCP04-0088,,0,1,1
NCP04-0093,0,,1,
NCP04-0095,1,1,1,0
NCP04-0095,2,1,1,1
NCP04-0095,,3,1,1
NCP04-0099,0,,2,
NCP04-0100,0,,1,
NCP04-0100,0,1,1,1
NCP04-0100A,,2,1,1
NCP04-0100B,,3,0,0
NCP04-0103,,,,
NCP04-0108,0,0,1,1
NCP04-0108,,1,0,2
NCP04-0108,,3,0,2
NCP04-0111,0,0,0,0
NCP04-0111,0,1,2,2
NCP04-0111,,2,0,1
NCP04-0113,,,,
NCP04-0118,1,,1,
NCP04-0118,3,1,1,0
NCP04-0118,,0,0,0
NCP04-0121,0,,0,0
NCP04-0123,0,2,0,0
NCP04-0123,0,1,0,0
NCP04-0123,,1,0,0
NCP04-0131,3,2,0,
NCP04-0137,1,,0,
NCP04-0151,1,,1,0
NCP05-0028,,0,0,0
NCP05-0028,4,1,,0
NCP05-0034,,1,1,1
NCP05-0034,3,0,1,
NCP05-0055,,3,0,0
NCP05-0055,1,0,0,0
NCP05-0063,,0,0,0
NCP05-0063,4,3,0,1
NCP05-0082,,1,0,0
NCP05-0082,3,0,0,0
NCP05-0086,,0,0,0
NCP05-0086,0,0,0,0
NCP05-0087,,0,0,0
NCP05-0087,,,0,0
NCP05-0095,,1,0,1
NCP05-0095,3,2,0,0
NCP05-0100,,0,0,0
NCP06-0002,2,0,3,3
NCP06-0002,1,1,3,2
NCP06-0010,0,2,1,2
NCP06-0014,0,0,1,1
NCP06-0014,1,1,2,0
NCP06-0015,2,0,1,
NCP06-0016,1,2,1,1
NCP06-0016,1,3,3,0
NCP06-0016,,3,1,1
NCP06-0017,2,1,1,3
NCP06-0017,3,1,2,2
NCP06-0017,,,,2
NCP06-0018,2,2,1,1
NCP06-0018,1,1,0,0
NCP06-0020,1,2,0,0
NCP06-0020,1,3,2,0
NCP06-0020,,2,1,0
NCP06-0020,,3,,1
NCP06-0027,2,0,1,0
NCP06-0027,2,1,0,0
NCP06-0028,2,1,0,2
NCP06-0028,4,1,0,0
NCP06-0048,1,3,0,1
NCP06-0048,1,0,2,1
NCP06-0048,,1,1,2
NCP06-0058,0,3,1,0
NCP06-0058,1,0,0,1
NCP06-0061,2,0,0,0
NCP06-0061,1,0,1,0
NCP08-0004,3,2,2,0
NCP08-0004,,2,1,1
NCP08-0004,,1,,2
NCP09-0001,,3,0,0
NCP09-0001,,3,0,2
NCP09-0001,1,3,0,0
NCP09-0005,,2,0,0
NCP09-0005,,1,0,0
NCP09-0013,,3,2,1
NCP09-0013,,3,1,2
NCP09-0013,1,2,2,1
NCP09-0017,,3,0,0
NCP09-0017,,2,0,2
NCP09-0019,,0,2,2
NCP09-0019,,0,2,2
NCP09-0022,,3,2,2
NCP09-0022,,3,3,2
NCP09-0022,0,3,2,1
NCP09-0026,,0,2,1
NCP09-0026,,0,0,1
NCP09-0027,,3,1,1
NCP09-0027,,1,1,1
NCP09-0027,1,1,1,1
NCP09-0030,,0,1,0
NCP09-0030,,0,0,1
NCP09-0036,,1,0,0
NCP09-0045,,2,1,1
NCP09-0045,,2,1,0
NCP09-0056,,3,1,0
NCP09-0056,,2,1,0
NCP09-0056,1,0,0,0
NCP09-0058,,0,0,0
NCP09-0058,,0,0,1
NCP09-0059,,0,1,0
NCP09-0059,,1,0,1
NCP09-0060,,0,1,1
NCP09-0060,,0,2,1
NCP09-0069,,1,1,1
NCP09-0069,,0,1,1
NCP09-0076,,3,1,1
NCP09-0076,,3,2,0
NCP09-0076,3,4,0,1
NCP09-0078,,0,0,0
NCP09-0078,,2,0,0
NCP09-0081,,0,1,1
NCP09-0081,,0,0,1
NCP09-0089,,0,0,0
NCP09-0089,,0,,2
NCP09-0089,,0,,0
NCP09-0093,,0,2,0
NCP09-0093,,0,,1
NCP09-0099,,0,2,2
NCP09-0099,,0,,2
NCP09-0104,,1,0,0
NCP09-0104,,0,,0
NCP09-0107,,0,1,1
NCP09-0107,,0,,1
NCP09-0109,,1,1,2
NCP09-0109,,1,,1
NCP09-0111,,0,1,1
NCP09-0111,,0,,2
NCP09-0113,,0,1,1
NCP09-0113,,0,,2
NCP09-0118,,1,1,1
NCP09-0118,,0,,0
NCP09-0122,,0,2,0
NCP09-0122,,0,,1
NCP09-0125,,0,0,0
NCP09-0125,,0,,1
NCP09-0127,,1,0,0
NCP09-0127,,3,,1
NCP09-0130,,2,0,0
NCP09-0130,,3,,0
NCP09-0139,,1,1,1
NCP09-0139,,3,,2
NCP09-0139,0,1,1,1
NCP12-0018,2,3,1,1
NCP12-0018,,0,,
NCP12-0042,,1,,
NCP12-0048,,0,,
NCP12-0050,3,0,0,0
NCP12-0050,,0,,
NCP12-0051,2,1,0,0
NCP12-0051,,1,,
NCP12-0055,2,0,0,0
NCP12-0055,,1,,
NCP12-0061,,0,,
NCP12-0062,,0,,
NCP12-0063,2,0,0,0
NCP12-0063,,0,,
NCP12-0067,,0,,
NCP12-0067,1,0,2,
NCP12-0068,,1,,
NCP12-0094,,0,,
NCP12-0097,,1,,
NCP12-0112,,1,,
NCP12-0115,,1,,
NCP12-0140,,1,,
NCP12-0141,,0,,
NCP12-0146,,0,,
NCP12-0147,,1,,
NCP12-0148,4,3,0,2
NCP12-0148,,3,,
NCP12-0150,,2,,
NCP12-0169,,3,,
NCP12-0170,,3,,
NCP12-0177,1,3,0,2
NCP12-0177,0,3,0,
NCP12-0177,0,3,0,
NCP12-0178,,1,,
NCP12-0183,1,2,0,
NCP12-0192,,0,,
NCP12-0197,,1,,
NCP12-0199,,1,,
NCP12-0201,1,3,1,0
NCP12-0201,,1,,
NCP12-0202,2,1,0,0
NCP12-0202,,0,,
NCP12-0203,3,2,0,0
NCP12-0203,,1,,
NCP12-0204,2,2,0,0
NCP12-0204,,0,,
NCP12-0205,3,2,0,1
NCP12-0205,2,1,0,
NCP12-0208,,0,,
NCP12-0210,,3,,
NCP12-0213,,0,,
NCP12-0218,,0,,
NCP12-0229,,0,,
NCP12-0230,,0,,
NCP12-0233,2,3,0,0
NCP12-0233,1,3,0,
NCP12-0233,0,2,0,1
NCP12-0234,1,3,0,3
NCP12-0234,,2,,
NCP12-0237,0,3,0,1
NCP12-0237,,2,,
NCP12-0249,,0,,
NCP12-0254,,1,,
NCP12-0254,,0,,
NCP12-0259,,1,,
NCP12-0266,0,0,0,1
NCP12-0266,,2,,
NCP12-0268,0,2,0,0
NCP12-0268,,3,,
NCP12-0269,1,0,0,0
NCP12-0269,1,1,0,
NCP12-0278,,1,,
NCP12-0282,,0,,
NCP12-0284,3,1,2,1
NCP12-0284,,1,,
NCP12-0286,,0,,
NCP12-0287,4,0,2,0
NCP12-0287,3,0,2,
NCP13-0005,,2,,3
NCP13-0005,2,3,,4
NCP13-0005,3,2,,
NCP13-0005_M13-4_G2,,3,,
NCP13-0005_M14-4_G2,,2,,
NCP13-0005_M15-8_G2,,2,,
NCP13-0005_M16-2_G2,,2,,
NCP13-0010,4,0,,
NCP13-0019,0,0,0,
NCP13-0019,0,0,0,
NCP13-0030,,2,,1
NCP13-0030,3,3,,1
NCP13-0030,4,1,,
NCP13-0030_M10-4_G2,,2,,
NCP13-0030_M12-3_G2,,3,,
NCP13-0030_M12-5_G2,,3,,
NCP13-0030_M9-2_G2,,3,,
NCP13-0032,,2,,
NCP13-0057,,4,,3
NCP13-0057,3,3,,0
NCP13-0057,3,4,,
NCP13-0073,,3,,3
NCP13-0080,,0,,
NCP13-0096,0,0,0,
NCP13-0096,0,0,0,
NCP13-0129,1,0,0,
NCP13-0129,1,0,0,2
NCP13-0138,,3,,
NCP13-0147,0,0,0,0
NCP13-0151,3,1,1,
NCP13-0168,0,2,1,2
NCP13-0171,2,0,,
NCP13-0177,3,0,1,1
NCP13-0186,1,0,0,
NCP13-0186,,0,,2
NCP13-0192,,1,,
NCP13-0196,2,2,1,1
NCP13-0196,3,1,,0
NCP13-0196,3,2,,
NCP13-0270,,0,,
NCP13-0285,0,2,0,3
NCP13-0285,0,3,,2
NCP13-0285,1,2,,
NCP13-0285_M6-4_G2,,3,,
NCP13-0285_M7-4_G2,,3,,
NCP13-0285_M8-4_G2,,3,,
NCP13-0308,3,2,3,
NCP13-0313,,0,,
NCP13-0315,,1,,
NCP13-0315,0,2,,0
NCP13-0315,1,3,,
NCP13-0315_M2-5_G2,,3,,
NCP13-0320,2,1,,
NCP13-0322,0,3,2,
NCP13-0322,0,3,,2
NCP13-0326,0,3,2,
NCP13-0326,0,3,,1
NCP13-0328,0,2,2,
NCP13-0329,0,1,0,
NCP13-0329,0,0,,0
NCP13-0408,0,3,0,
NCP13-0408,2,3,,0
NCP13-0409,2,2,0,
NCP13-0464,2,3,1,
NCP13-0500,,1,,
NCP13-0539,1,0,1,
NCP14-0004,,0,,
NCP14-0014,,2,,0
NCP14-0014,4,0,,
NCP14-0018,,1,,1
NCP14-0018,3,1,,
NCP14-0021,,1,,3
NCP14-0021,3,0,,
NCP14-0029,,4,,
NCP14-0038,,4,,
NCP14-0046,,4,,
NCP14-0062,,3,,
NCP14-0084,,4,,
NCP14-0087,,4,,
NCP14-0093,,3,,
NCP14-0094,,2,,
NCP14-0095,,0,,
NCP14-0099,,3,,0
NCP14-0099,3,2,,
NCP14-0104,,2,,
NCP14-0104,,1,,
NCP14-0137,,0,,
NCP14-0137,,1,,
NCP14-0156,,2,,2
NCP14-0156,,3,,0
NCP14-0156,2,2,,
NCP14-0179,,3,,
NCP14-0202,,1,,
NCP14-0214,,1,,
NCP14-0214,,2,,
NCP14-0224,,0,,0
NCP14-0224,2,0,,
NCP15-0006,,2,,
NCP15-0007,,1,,
NCP15-0007,,1,,
NCP15-0007,4,3,,3
NCP15-0007,,3,,
NCP15-0017,,3,,
NCP15-0021,,1,,
NCP15-0022,,4,,0
NCP15-0022,,1,,
NCP15-0025,,0,,
NCP15-0025,,2,,
NCP15-0027,,2,,
NCP15-0030,,3,,
NCP15-0037,,3,,0
NCP15-0037,,2,,
NCP15-0040,,3,,1
NCP15-0040,,1,,
NCP15-0041,,3,,0
NCP15-0041,,2,,
NCP15-0046,,1,,
NCP15-0049,,0,,
NCP15-0050,,0,,
NCP15-0052,,1,,0
NCP15-0052,,0,,
NCP15-0058,,0,,
NCP15-0069,,3,,1
NCP15-0069,,1,,
NCP15-0077,,4,,0
NCP15-0077,,3,,
NCP15-0083,,3,,2
NCP15-0099,,3,,
NCP15-0099,,3,,
NCP15-0099,3,4,,
NCP15-0124,,0,,
NCP15-0129,,3,,0
NCP15-0129,,2,,
NCP15-0130,,3,,0
NCP15-0130,,0,,
NCP16-0001,2,3,,3
NCP16-0001,,2,,
NCP16-0004,,1,,
NCP16-0004,0,3,,
NCP16-0005,,2,,
NCP16-0005,3,3,,2
NCP16-0005,,2,,
NCP16-0030,,3,,
NCP16-0046,,2,,
NCP16-0046,4,2,,1
NCP16-0046,,2,,
NCP16-0064,3,3,,0
NCP16-0064,,2,,
NCP16-0081,,3,,
NCP16-0092,,3,,
NCP16-0092,4,3,,
NCP16-0095,3,2,,0
NCP16-0095,,1,,
NCP16-0096,,2,,
NCP16-0142,,0,,
NCP16-0142,4,3,,0
NCP16-0142_SK1,4,3,,0
NCP16-0142_SK1,,2,,
NCP17-0006,4,3,,
NCP18-0009,,1,,
NCP18-0017,,3,,
NCP18-0025,,1,,
NCP18-0043,,4,,
NCP18-0047,,0,,
NCP18-0053,,3,,
NCP18-0060,,3,,
NCP18-0070,,2,,
NCP18-0071,,2,,
NCP18-0072,,3,,
NCP18-0076,,2,,
NCP18-0092,,3,,
NCP18-0093,,4,,
NCP18-0096,,3,,
NCP18-0102,,1,,
NCP18-0105,,3,,
NCP18-0111,,3,,
New Kawogo,3,0,,
No Name,,0,,
No Name,,0,,
No Name#1,,0,,
No Name#1,,3,,
O.4,,1,,
O.4,,0,,
Okinawa 100 ,0,0,,
Orleans,0,0,3,3
Orleans,,2,3,
Orleans,,3,,2
Orleans,0,2,4,3
P2611-10,4,0,0,0
PortoRico_G2,0,0,,
PortoRico_G2,0,2,1,0
PortoRico_G2,0,2,0,0
PortoRico_G2,0,2,,0
PortoRico_G2,2,3,3,0
PortoRico_G2,1,0,3,0
PortoRico_G2,0,0,0,0
PortoRico_G2,0,0,3,0
PortoRico_G2,0,0,0,0
PortoRico_G2,0,0,1,0
PortoRico_G2,0,0,1,0
PortoRico_G2,0,0,0,1
PortoRico_G2,0,0,0,0
PortoRico_G2,0,0,0,
PortoRico_G2,0,0,0,1
PortoRico_G2,0,0,,0
PortoRico_G2,0,0,,
PortoRico_G2,0,0,,
PortoRico_G2,0,0,,0
PortoRico_G2,,0,,
Purple,3,2,0,0
Q25736,,0,,
R.D.T.,2,2,2,0
Red Cov #1,3,4,3,3
Red Cov #2,3,4,1,3
Red Cov CR#1,,4,,1
Ruddy,3,0,,
Ruddy,,0,1,
Ruddy,3,0,1,1
Ruddy G2,,0,,1
Suwon 122 ,1,0,,
Taiwanese,0,1,0,1
Tanzania,3,3,,
Tawa-1,,1,,
Tawa-1,,1,,
TG-5,3,0,0,rc
TG-6,3,1,1,0
TG-7,4,2,1,0
TI 1849,3,1,3,2
TI1849,4,0,3,0
TIB 11,,,,0
Tib 11,1,2,0,0
Tib 11,3,3,0,1
Tib 4 ,3,3,,
TIS 2544,2,0,0,rc
TIS 3053,3,2,1,1
TIS 3290,4,2,0,0
TIS 3290,3,2,0,0
TIS 70683,3,2,0,1
TIS 70683,2,0,0,0
TIS 70683,3,2,0,0
TIS 70683,2,1,1,0
TIS 8164,4,0,0,2
TIS 8164,2,2,1,
Tomulabula (Naspot 11),4,0,,
Travis,,0,,
VitA (Naspot 9 Orange),3,1,,
VSP-2,0,2,0,rc
W203,,,,
W250,3,1,,
W250,,3,,
W250,,0,,
W311,1,3,0,0
W332 G1,4,3,0,2
W333 G1,4,0,0,0
W361 G2,,1,,0
W375 G1,4,0,0,0
W375 G1 (ch.scar),,1,0,
W376,3,2,0,0
W386,3,3,0,1
W386 G1,3,0,1,0
W386 G1,,0,0,
W386 G2,,2,,0
W390,,0,,1
W390 G1,4,0,0,0
W392,,3,,1
W392 G1,4,3,0,1
W392 G1,,3,2,
W392 G2,,2,,0
Waimanalo,4,0,0,2
Waimanalo,3,2,0,0
Waimanalo,3,0,0,0
WB24,3,2,,
Wh Cov #2,,2,,
White Delite,1,0,0,0
White Evan,,1,,1
Won-mi,2,3,0,1
Won-Mi ,3,0,,
WT125,3,2,2,0
Xushu 18,1,2,,
Yellow Cov,3,3,3,3
Yellow Cov,3,2,1,3
Yellow Cov,2,3,,3
