GermplasmName,RKN,FW,GH SSR,Field SSR
NC03-0132,0,3,1,
NC03-0149,2,2,2,
NC03-0182,3,1,1,
NC03-0190,1,3,1,
NC03-0204,4,0,1,
NC03-0221,3,1,3,
NC03-0224,3,0,1,
NC03-0239,1,2,0,2
NC03-0239,1,2,1,1
NC03-0239,3,0,0,3
NC03-0250,1,0,1,
NC03-0254,3,3,2,
NC03-0261,3,0,1,
NC03-0288,3,3,0,
NC03-0300,3,4,1,
NC03-0302,3,4,3,2
NC03-0302,4,3,3,3
NC03-0302,4,3,3,3
NC03-0311,1,3,0,2
NC03-0311,0,3,0,0
NC03-0311,2,2,2,2
NC03-0311,2,3,0,2
NC03-0342,3,3,0,
NC03-0353,2,3,3,
NC03-0367,1,3,3,
NC03-0371,4,0,3,
NC03-0372,4,1,0,2
NC03-0372,,,,0
NC03-0372,4,1,1,0
NC03-0380,2,3,0,1
NC03-0380,2,3,2,0
NC03-0380,3,2,2,0
NC03-0388,3,3,2,2
NC03-0388,3,2,3,2
NC03-0392,4,3,1,
NC03-0395,0,0,3,
NC03-0395,0,3,2,1
NC03-0395,0,0,2,1
NC03-0395,0,2,0,2
NC03-0398,0,0,1,
NC03-0403,0,2,3,1
NC03-0415,3,2,0,
NC03-0417,3,3,3,3
NC03-0417,2,3,2,2
NC03-0417,3,2,3,1
NC03-0417,3,1,3,3
NC03-0417,4,3,3,1
NC03-0445 ,,2,,
NC04-0011,2,2,,1
NC04-0011,2,0,0,2
NC04-0011,1,0,1,0
NC04-0015,3,,,
NC04-0018,0,0,3,3
NC04-0032,0,2,,3
NC04-0032,1,2,3,2
NC04-0032,0,3,2,2
NC04-0069,0,1,,3
NC04-0069,0,2,2,2
NC04-0069,0,0,3,0
NC04-0086,0,3,,2
NC04-0086,0,3,1,2
NC04-0086,0,3,1,0
NC04-0090,3,3,,1
NC04-0090,4,3,0,2
NC04-0090,4,2,0,2
NC04-0091,0,,,
NC04-0092,3,3,,0
NC04-0092,4,2,1,0
NC04-0092,3,3,0,0
NC04-0092,3,1,0,2
NC04-0093,1,,,
NC04-0097,3,3,,2
NC04-0097,3,1,2,2
NC04-0097,3,0,2,0
NC04-0097,3,2,2,2
NC04-0109,2,,,
NC04-0115,4,1,,
NC04-0115,4,2,1,
NC04-0120,1,3,1,1
NC04-0120,1,3,0,0
NC04-0126,3,3,,0
NC04-0126,2,3,0,0
NC04-0126,3,3,0,0
NC04-0144,0,3,,1
NC04-0156,3,,,
NC04-0165,0,4,,2
NC04-0165,1,3,2,1
NC04-0165,0,2,1,0
NC04-0166,,,,
NC04-0185,0,,,
NC04-0194,3,,,
NC04-0197,1,3,,3
NC04-0197,3,2,1,2
NC04-0197,2,3,0,0
NC04-0198,1,3,,3
NC04-0198,3,3,1,1
NC04-0198,1,2,1,0
NC04-0203,4,,,
NC04-0205,3,3,,3
NC04-0210,1,3,,3
NC04-0210,,3,,
NC04-0227,3,,,
NC04-0231,3,,,
NC04-0240,2,3,,1
NC04-0240,,3,,
NC04-0250,2,,,
NC04-0251,2,,,
NC04-0258,,3,,
NC04-0258,3,3,3,
NC04-0259,4,2,3,2
NC04-0259,3,1,2,0
NC04-0301,3,3,,0
NC04-0301,,3,,
NC04-0301,3,2,0,0
NC04-0302,4,,,
NC04-0336,,,,
NC04-0337,0,,,
NC04-0357,1,,,
NC04-0368,1,,,1
NC04-0383,,1,,
NC04-0383,3,0,0,2
NC04-0384,3,,,
NC04-0390,1,,,
NC04-0407,1,3,,3
NC04-0409,0,3,,1
NC04-0412,1,3,,2
NC04-0412,3,3,2,2
NC04-0412,3,3,3,2
NC04-0414,3,,,
NC04-0417,3,,,
NC04-0420,0,,,
NC04-0426,0,,,
NC04-0440,2,,,
NC04-0443,3,,,
NC04-0444,3,,,3
NC04-0447,0,3,0,3
NC04-0465,4,3,,1
NC04-0468,0,3,,2
NC04-0468,,3,0,
NC04-0468,0,3,2,3
NC04-0477,3,3,,2
NC04-0477,,2,0,
NC04-0481,0,3,,3
NC04-0484,0,3,,
NC04-0484,1,2,2,2
NC04-0484,1,2,1,0
NC04-0497,4,3,,2
NC04-0497,,0,,1
NC04-0497,3,3,1,0
NC04-0499,4,,,
NC04-0504,3,,,
NC04-0506,2,,,
NC04-0523,3,,,
NC04-0529,3,,,
NC04-0531,2,4,,3
NC04-0531,3,3,3,3
NC04-0531,3,3,3,3
NC04-0531,4,3,3,3
NC04-0531 ,3,3,1,3
NC04-0531_ORG1,,4,,
NC04-0534,3,3,,2
NC04-0550,,,,
NC04-0555,,,,
NC04-0557,,,,
NC05-0011,,3,,
NC05-0017,,3,,
NC05-0021,,1,,
NC05-0024,,3,,
NC05-0024,1,2,2,3
NC05-0050,,1,0,
NC05-0050,4,1,1,3
NC05-0050,3,2,3,3
NC05-0050,3,1,3,
NC05-0058,,1,,
NC05-0065,,2,0,
NC05-0072,,3,,
NC05-0077,,2,,
NC05-0078,,2,,
NC05-0106,3,1,1,3
NC05-0106,3,2,3,3
NC05-0106,4,3,2,3
NC05-0108,,3,0,
NC05-0108,3,2,1,3
NC05-0108,3,3,1,0
NC05-0108,4,2,0,
NC05-0112,1,1,1,3
NC05-0112,0,0,0,3
NC05-0119,,1,,
NC05-0122,,2,,
NC05-0128,4,3,1,
NC05-0128,3,3,3,0
NC05-0143,4,2,1,0
NC05-0143,3,3,0,3
NC05-0151,4,2,1,0
NC05-0151,3,3,0,0
NC05-0156,4,1,2,3
NC05-0156,4,1,3,1
NC05-0172,,2,,
NC05-0173,,2,,
NC05-0173,3,3,2,3
NC05-0176,,2,,
NC05-0188,,2,,
NC05-0198,3,3,1,3
NC05-0198,1,2,2,2
NC05-0198,1,3,2,3
NC05-0198,1,2,3,3
NC05-0198,0,3,2,2
NC05-0198,2,4,3,2
NC05-0198 ,1,3,3,3
NC05-0212,2,0,0,3
NC05-0257,2,3,2,3
NC05-0257,0,1,2,1
NC05-0257,0,3,3,3
NC05-0257,0,2,3,3
NC05-0257,0,3,3,3
NC05-0258,,3,,
NC05-0261,,0,,
NC05-0284,4,1,1,3
NC05-0284,3,0,1,2
NC05-0284,2,0,1,2
NC05-0289,,3,,
NC05-0306,,2,,
NC05-0306,3,0,2,3
NC05-0306,4,0,2,1
NC05-0310,,3,,
NC05-0343,,2,,
NC05-0346,,1,,
NC05-0349,1,2,2,3
NC05-0349,0,0,3,1
NC05-0349,0,2,3,2
NC05-0359,,3,,
NC05-0359,3,1,3,2
NC05-0397,,3,,
NC05-0397,0,0,1,3
NC05-0408,3,2,2,2
NC05-0408,1,3,0,3
NC05-0411,,3,,
NC05-0415,,1,0,0
NC05-0419,,0,,
NC05-0422,,2,,
NC05-0422,2,3,2,0
NC05-0422,3,2,2,2
NC05-0431,,1,,0
NC05-0431,3,3,2,2
NC05-0431,3,0,1,2
NC05-0446,,2,,
NC05-0447,,2,,
NC05-0447,0,3,0,
NC05-0457,,3,,
NC05-0460,,3,,
NC05-0460,0,3,0,0
NC05-0485,,3,,0
NC05-0500,,1,,
NC05-0503,,3,,
NC05-0523,,2,,0
NC05-0528,3,1,1,3
NC05-0528,1,3,1,2
NC05-0528,1,1,1,2
NC05-0533,,2,,
NC05-0533,1,0,0,2
NC05-0536,4,2,1,0
NC05-0536,3,3,0,0
NC05-0536,3,2,0,0
NC05-0538,2,3,1,2
NC05-0538A,3,3,2,3
NC05-0538B,0,3,1,1
NC05-0553,3,3,1,2
NC05-0553,4,1,2,2
NC05-0553,,1,,
NC05-0553 A,2,2,1,1
NC05-0553 B,4,1,2,
NC05-0566,4,3,2,3
NC05-0566,3,3,0,2
NC05-0568,3,1,2,2
NC05-0568,,0,,
NC05-0587,,1,,
