Code,Maternal,Paternal
638,382-1,403-1
639,382-1,439-6
640,382-1,439-10
641,382-1,CN1367-2
642,382-1,Sulfur
643,384-1,125-1
644,384-1,466
645,391-1,102-1
646,391-1,376-1
647,391-1,384-1
648,391-2,102-1
649,391-2,384-1
650,391-2,466
651,391-2,Pink Frost
652,391-2,So Del X Bl-1
653,395-2,439-10
654,395-2,Sulfur
655,403-1,16-1
656,403-1,364-2
657,403-1,382-1
658,403-1,439-10
659,403-1,Sulfur
660,403-1,NA
661,411-2,102-1
662,411-2,466
663,420-4,439-10
664,420-4,Sulfur
665,434V,305-1
666,439-5,305-1
667,439-5,308-1
668,439-5,319-1
669,439-5,319-2
670,439-5,324-1
671,439-5,371-1
672,439-5,466
673,439-5,Pink Frost
674,439-5,NA
675,439-6,138-1
675,0439-006,138-1
676,439-6,DW8
677,439-10,364-2
678,439-10,403-1
679,439-10,CN1367-2
680,439-10,Sulfur
681,441,16-1
682,441,136-1
683,441,138-1
684,441,382-1
685,441,403-1
686,441,Sulfur
687,466,102-1
688,466,376-1
689,466,384-1
690,466,434
691,466,Pink Frost
692,479,324-2
693,479,Pink Frost
694,484,305-1
695,484,308-1
696,484,324-2
697,484,371-1
698,484,Pink Frost
699,Blackie,Pink Frost
700,Carolina Bunch,97-1
701,Carolina Bunch,111-1
702,Carolina Bunch,Pink Frost
703,CN1367-2,97-1
704,CN1367-2,136-1
705,CN1367-2,138-1
706,CN1367-2,138-3
707,CN1367-2,274-1
708,CN1367-2,324-2
709,CN1367-2,364-2
710,CN1367-2,403-1
711,CN1367-2,427-1
712,CN1367-2,439-6
712,CN1367-2,0439-006
713,CN1367-2,439-10
714,CN1367-2,Pink Frost
715,CN1367-2,Sulfur
716,CN1367-2,Vilca Romero
717,DW8,16-1
718,DW8,111-1
719,DW8,136-5
720,DW8,308-1
721,DW8,Sulfur
722,Pink Frost,102-1
723,Pink Frost,391-2
724,Pink Frost,466
725,So Delite X Bl-1,125-1
726,So Delite X Bl-1,434
726,SoDelxBL-1,434 var
727,So Delite X Bl-1,466
728,So Delite X Bl-1,Pink Frost
728,SoDelxBL-1,Pink Frost
729,Sulfur,133-1
730,Sulfur,382-1
731,Sulfur,394-2
732,Sulfur,395-2
733,Sulfur,403-1
734,Sulfur,434
735,Sulfur,439-10
736,Sulfur,CN1367-2
737,S X Bl R6-5,Sulfur
738,NA,NA
739,Sulfur,395-1
740,7-1,CN1367-2
741,16-1,Sulfur
742,133-1,14-1
743,136-1,14-1
744,274-1,14-1
745,274-1,Carolina Bunch
746,319-1,484
747,319-2,434
748,319-2,484
749,319-3,345-1
750,319-3,484
751,324-2,434
752,327-3,308-1
753,361-1,376-1
754,371-1,345-1
755,371-1,484
756,376-1,411-1
757,382-1,16-1
758,382-1,394-2
759,391-2,376-1
760,394-2,382-1
761,394-2,395-2
762,394-2,403-1
763,394-2,Carolina Bunch
764,394-6,403-1
765,395-2,394-2
766,403-1,394-2
767,403-1,Carolina Bunch
768,434V,125-1
769,441,14-1
770,484,306-1
771,484,319-2
772,484,319-3
773,CN1367-2,14-1
774,CN1367-2,16-1
775,CN1367-2,382-1
776,Sulfur,16-1
777,7-1,NA
778,7-1,14-1
779,7-1,146-1
780,7-1,274-1
781,7-1,434 var
782,7-1,707-2
783,7-1,0439-006
784,7-1,Sulfur
785,7-1,Terrace Lime
786,14-1,NA
787,14-1,133-1
788,14-1,136-1
789,14-1,136-5
790,14-1,146-1
791,14-1,337-1
792,14-1,364-2
793,14-1,434 var
794,14-1,582
795,14-1,735-1
796,14-1,NA
797,15-1,136-1
798,15-1,274-1
799,30-1,UNK
800,73-1,NA
801,73-1,54
802,73-1,99
803,73-1,327-2
804,73-1,345-1
805,73-1,371-1
806,73-1,439-5
807,73-1,462
808,73-1,466
809,73-1,551
810,73-1,656
811,73-1,666-1
812,73-1,671-1
813,73-1,C1P199050-3
814,73-1,CIPI99062
815,73-1,LM87045
816,73-1,0439-006
817,90-1,NA
818,90-1,73-1
819,90-1,327-2
820,90-1,Pink Frost
821,97-529,SXBR6-5
822,99,439-5
823,99,690
824,99,Pink Frost
826,102-1,187-1
827,102-1,327-1
828,102-1,629-2
829,102-1,C1P199050
830,102-1,CN1367-2
831,102-1,Pink Frost
832,125-1,NA
833,125-1,462
834,125-1,C1P199050
835,126-1,163-1
836,126-1,384-1
837,126-1,LM87-045
838,133-1,NA
839,133-1,136-5
840,133-1,146-1
841,133-1,152-9
842,133-1,274-1
843,133-1,337-1
844,133-1,677
845,133-1,0439-006
846,136-1,NA
847,136-1,138-1
848,136-1,146-1
849,136-1,187-1
850,136-1,484
851,136-1,710
852,136-1,CN1367-2
853,136-3,NA
854,136-3,CN1367-2
855,136-4,679
856,136-4,0439-006
857,136-4,SXBR5-18
858,136-5,133-1
859,138-1,NA
860,138-1,136-5
861,138-1,152-8
862,138-1,152-9
863,138-1,163-1
864,138-1,187-1
865,138-1,274-1
866,138-1,337
867,138-1,364-2
868,138-1,563-3
869,138-1,675
870,138-1,677
871,138-1,710
872,138-1,735-1
873,138-1,CN1367-2
874,138-1,0439-006
875,144-1,146-1
876,146-1,136-1
877,146-1,136-5
878,146-1,138-1
879,146-1,152-8
880,146-1,274-1
881,146-1,308-1
882,146-1,337-1
883,146-1,364-2
884,146-1,439-10
885,146-1,562
886,146-1,675
887,146-1,677
888,146-1,707-2
889,146-1,Pink Frost
